	Type de signalement	Date	Heure	Rue	Ville	lat	lon	Type de vélo	Le vélo était-il stationné dans un lieu clos ?	Le vélo était-il attaché ?
1	Vélo volé	06/11/2019	18:15	Rue du bois de hercé	Nantes	47.208844	 -1.591379	Vélo hollandais	Non	Non
2	Vélo volé	06/11/2019	18:15	Rue du bois de hercé	Nantes	47.208844	 -1.591379	Vélo de transport (tri/bi porteur)	Non	Non
3	Vélo volé	29/10/2019	07:30	Rue Pierre Etienne Flandin	Nantes	47.203476 	 -1.540264	VTT	Oui, un local collectif	Oui
4	Vélo volé	29/11/2019		Boulevard Ernest Dalby 	Nantes	47.220923 	 -1.531466	Vélo de route	Oui, un local collectif	Oui
5	Vélo volé	09/12/2019		Boulevard des poilus	Nantes	47.233688 	 -1.534674	VTC	Oui, un local collectif	Oui
6	Vélo volé	05/11/2019		Allée de la Reine Margot	Nantes	47.22214 	 -1.548986	VTC	Oui, un local collectif	Non
7	Vélo volé	05/11/2019		Allée de la Reine Margot	Nantes	47.22214 	 -1.548986	VTT	Oui, un local collectif	Non
8	Vélo volé	23/01/2020	18:30	Rue Jean-Baptiste Canclaux	Rezé	47.17537229316596	 -1.5361698129460322	Vélo à assistance électrique	Oui, un local collectif	Non
9	Vélo volé	27/01/2020	01:00	Rue des jardins 	Orvault	47.24749719607709	 -1.5993031841075347	VTC	Non	Non
10	Vélo volé	28/01/2020	18:30	Place Jean Saillant 	Indre	47.19339895502271	 -1.6468825896766557	Vélo de route	Non	Oui
11	Vélo volé	19/02/2020	22:00	Rue de richebourg	Nantes	47.218133 	 -1.543965	Vélo de route	Non	Oui
12	Vélo volé	18/02/2020	22:00	Rue de richebourg	Nantes	47.218133 	 -1.543965	Vélo de route	Non	Oui
13	Vélo volé	03/03/2020		Rue meuris	Nantes	47.208207 	 -1.573588	VTC	Non	Oui
14	Vélo volé	01/03/2020	04:30	rue du pont sauvetout	Nantes	47.216981 	 -1.55787	VTT	Non	Non
15	Vélo volé	21/02/2020		parking gare nord	Nantes	47.217761 	 -1.543096	VTC	Non	Oui
16	Vélo volé	04/03/2020	21:30	Rue de Maryland 	Nantes	47.219269 	 -1.537845	Vélo hollandais	Non	Oui
17	Vélo volé	13/05/2020		Boulevard de l'égalité	Nantes	47.212004 	 -1.586323	VTC	Oui, un local collectif	Non
18	Vélo volé	16/05/2020	18:00	Rue Ferdinand Buisson	Nantes	47.204205 	 -1.581827	VTC	Oui, un local collectif	Non
19	Vélo volé	18/05/2020		Rue moliere	Nantes	47.213826 	 -1.561979	VTC	Non	Oui
